"Result","Location","Website","Products/Services","Lat","Lon"
"Apalachicola Farmers Market","Apalachicola, FL 32320","Visit Website","","29.726652","-84.983485"
"Edward L. Myrick State Farmers Market","Pompano Beach, FL 33069","","Warehouse and office available for rent","26.231959","-80.140376"
"Florida City State Farmers Market","Florida City, FL 33034","","Warehouse, cooler, office and retail available for rent","25.451927","-80.478585"
"Fort Myers State Farmers Market","Fort Myers, FL 33916","","Warehouse, office, retail and truck parking available for rent","26.633203","-81.857407"
"Fort Pierce State Farmers Market","Fort Pierce, FL 34982","","Warehouse, office, retail and truck parking available for rent","27.396427","-80.325986"
"Gadsden State Farmers Market","Quincy, FL 32351","","Warehouse, cooler, office and truck parking available for rent","30.585808","-84.622110"
"Immokalee State Farmers Market","Immokalee, FL 34142","","Warehouse, cooler, office and truck parking available for rent","26.424278","-81.411546"
"Palatka State Farmers Market","Palatka, FL 32131","","Warehouse, cooler, office and truck parking available for rent","29.659659","-81.656194"
"Plant City State Farmers Market","Plant City, FL 33563","","Warehouse, cooler, office and truck parking available for rent","27.999669","-82.137391"
"Starke State Farmers Market","Starke, FL 32091","","Warehouse, office and truck parking available for rent","29.966854","-82.102606"
"Suwannee Valley State Farmers Market","White Springs, FL 32096","","Warehouse, cooler, office, retail and truck parking available for rent","30.319054","-82.804541"
"Trenton State Farmers Market","Trenton, FL 32693","","Warehouse and office available for rent","29.626667","-82.807585"
"Wauchula State Farmers Market","Wauchula, FL 33873","","Warehouse, cooler and office available for rent","27.541563","-81.810031"